day,market-price,hash-rate,fees-usd-per-transaction
861,7615.54,35121339.3988139,1.19089219316408
862,6553,35121339.3988139,1.03925388121249
863,6488.68,38559792.2070893,0.684603970324376
864,6760.83,42908653.8315633,0.652793160052876
865,6157.04,39627403.832679,0.647246208882597
866,5878.14,38112980.7562709,0.587412092972705
867,6626.44,30929068.6931155,0.731273674820069
868,6628.59,41594264.7941898,0.692117590520499
869,6329.27,35995036.8411258,0.885153137886251
870,6248.84,35461777.0360721,0.763535513256998
871,7371.11,44021066.1135111,0.853059398674629
872,7406.66,42733900.4376774,0.566810600780812
873,7939.81,42991333.5728441,0.574457094698937
874,8171.49,43474975.9754299,0.646798610284149
875,7414.77,52051671.9161698,0.560356305128898
876,6718.23,46432457.3343105,0.685105084726415
877,6227.85,49230273.0794216,1.08458673008572
878,6270.67,50183117.0745072,0.719730048586831
879,6486.58,47642199.754279,0.649032556698184
880,6525.96,47211617.4407006,0.77274510663761
881,6901.26,51165065.369764,0.615513273148291
882,7018.78,50496240.9858456,0.484572453960604
883,7359.19,44142409.33862,0.412101655522942
884,6184.06,56874984.6776413,0.484719419513626
885,6326.04,51641090.3821529,0.619840648517796
886,6497.37,47105048.6593962,0.590534993332689
887,6496.02,51200543.8778585,0.570922480006599
888,6583.45,60089527.1899868,0.465623595087276
889,6628.66,54045018.5377396,0.400994935776989
890,6521.31,51556103.2103437,0.467772616203699
891,6573.62,52623567.2251537,0.379102021488192
892,6581.07,58923571.7521087,0.441085623359184
893,6265.16,60035337.2568655,0.459450635000723
894,6509.61,50702736.5834647,0.393727751010816
895,6493.89,54987474.8862927,0.431263396115446
896,6472.17,48560367.4320507,0.419829416939624
897,6301.61,58201028.6134137,0.528795045509614
898,6361.3,44285199.6469399,0.416062022335391
899,6536.83,43213783.5264494,0.656738620204629
900,6408.53,49999418.9562224,0.569684911749044
901,5658.73,44946674.6331138,0.651760825732386
902,4848.78,43657349.0874779,0.456759168372316
903,4352.98,47295461.5114344,0.289102587669862
904,3828.45,39027024.1842606,0.290514967474806
905,4188.09,37704074.2119128,0.21077463587853
906,3744.98,37892374.8161739,0.379112631341302
907,3588.44,34804847.9793004,0.350045876268364
908,3308.11,40979901.6530473,0.214008588210473
909,3556.54,35766529.4260719,0.176749033941854
910,3899.83,44422290.5748598,0.184406891863424
911,3821.52,39853140.68716,0.303830006630665
912,3770.36,44676132.2352876,0.182962574018324
913,3931.31,43291796.7608921,0.28484713714882
914,4071.77,39381569.9566825,0.222462357286363
915,3646.25,41336683.3587873,0.292323766582377
916,3682.48,38609293.9848521,0.242312339213522
917,3625.73,38901788.6362525,0.201277400184509
918,3587.35,42704219.1044576,0.210036092345556
919,3576.3,40071767.241854,0.163513821566011
920,3470,44802503.958942,0.262659926685426
921,3456.02,42490116.6578353,0.325041794131476
922,3394.76,47114891.2600487,0.437014729582108
923,3629.47,38568926.138295,0.375138468313133
924,3608.2,45197960.3183144,0.286647422329177
925,3926.53,39171565.6092058,0.534873557164148
926,4139.6,41298258.2978092,0.34887826429922
927,3833.23,45274965.6436762,0.481901030733407
928,3814.58,41351135.2878909,0.303633707735043
929,3886.82,44067633.2265115,0.361824583634967
930,3881.09,43141131.5892332,0.385942280463952
931,3936.5,49174856.287028,0.590947052294201
932,4029.11,48571483.8172485,1.98543207226587
933,4011.92,47490106.9905989,1.24887844950027
934,4048.51,46298790.8217788,1.46480824086428
935,4114.16,43127640.7654926,1.05376100296338
936,4911.24,50104170.8893222,1.13447212807449
937,5268.71,41949459.1204562,1.71256543866316
938,5072.85,42902855.9186484,0.781747290238045
939,5196.65,43856252.7168405,0.78772424889514
940,5309.28,51199133.0238072,1.08811705884609
941,5434.19,45160953.3019234,1.78026390269507
942,5301.29,51477170.5469476,2.13841444279872
943,5390.16,48003251.0621843,4.56500249326611
944,5684.47,42312167.3509307,4.22872793214319
